codigo_ibge;munic�pio;uf;regiao;porte_sisan;porte_ibge;mais200milhab;capital;sisan;participacao;data_adesao;ano_adesao;mes_ano_adesao;sequencia_cadastro;v9104;v13838;v9110;v9111;v9112;v9109;v9113;v9114;v9115;v9116;v9132_1;v9132_2;v9132_3;v9132_4;v9132_98;v9132_99;v9133;v9117;v9118;v9119;v9123;v9120;v9943;v9122;v9121;v9124;v9125_1;v9125_2;v9125_3;v9125_4;v9125_5;v9125_6;v9125_7;v9125_8;v9125_98;v9126;v9127;v14388_1;v14388_5;v14388_10;v14388_15;v14388_20;v14388_25;v14388_30;v14388_35;v14388_98;v14388_99;v14389;v9130_1;v9130_2;v9130_3;v9130_4;v9130_98;v9130_99;v9131;v14137;v14138_2;v14138_4;v14138_6;v14138_8;v14138_10;v14138_12;p_latitude;p_longitude
530010;530010;53;5;5;7;1;1;0;4033;;;;454;Restaurante Comunitario de Brazlandia;;Vila Sao Jose-Brazlandia;70000-000;Brasilia;DF;(61) 32340236;;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;2000;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1.56752710443089E+16;-4819702148437500
530010;530010;53;5;5;7;1;1;0;4033;;;;455;Restaurante Comunitario da Estrutural;;Estrutural;70000-000;Brasilia;DF;(61) 34656759;;www.sedhs.df.gov.br;1;;;;1;;;;3;99;;$5,75;2;;$1,00;2200;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1577920377348560;-4.79975509643554E+16
530010;530010;53;5;5;7;1;1;0;4033;;;;456;Restaurante Comunitario da Ceilandia Sul;;Ceilandia Sul;70000-000;Brasilia;DF;(61) 83055720;adriana.maria@sedhs.df.gov.br;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;3600;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1.58200022419039E+16;-4812286376953120
530010;530010;53;5;5;7;1;1;0;4033;;;;457;Restaurante Comunitario do Gama;;Gama;70000-000;Brasilia;DF;(61) 34840092;marcos.santana@sedhs.df.gov.br;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;3700;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1601182599113710;-4806179523468010
530010;530010;53;5;5;7;1;1;0;4033;;;;458;Restaurante Comunitario do Itapoa;;Itapoa;70000-000;Brasilia;DF;(61) 32340236;;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;2000;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1.60117434902517E+16;-4806179523468010
530010;530010;53;5;5;7;1;1;0;4033;;;;459;Restaurante Comunitario do Paranoa;;Paranoa;70000-000;Brasilia;DF;(61) 33696350;rogerio.paixao@sedhs.df.gov.br;www.sedhs.df.gov.br;1;;;;;;;;99;99;;$5,75;2;;$1,00;1800;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1578036011852600;-4.77843475341796E+16
530010;530010;53;5;5;7;1;1;0;4033;;;;460;Restaurante Comunitario de Planaltina;;Planaltina;70000-000;Brasilia;DF;(61) 33891372;;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;2200;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1.56148223672405E+16;-4765190541744230
530010;530010;53;5;5;7;1;1;0;4033;;;;461;Restaurante Comunitario de Recanto da Emas;;Recanto das Emas;70000-000;Brasilia;DF;(61) 34348735;cleiton.paulino@sedhs.df.gov.br;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;1800;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1.59041591833566E+16;-4807277619838710
530010;530010;53;5;5;7;1;1;0;4033;;;;462;Restaurante Comunitario do Riacho Fundo;;Riacho Fundo;70000-000;Brasilia;DF;(61) 32340236;patricia.araujo@sedhs.df.gov.br;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;2100;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1.58911862691006E+16;-4.80472952127456E+16
530010;530010;53;5;5;7;1;1;0;4033;;;;463;Restaurante Comunitario de Samambaia;;Samambaia;70000-000;Brasilia;DF;(61) 33574665;patricia.chaves@sedhs.df.gov.br;www.sedhs.df.gov.br;1;;;;;;;;3;99;;$5,75;2;;$1,00;2100;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;-1.58896874553704E+16;-4809848785400390
